PDF,1_1_product_name,1_3_producer_of_sds_company_name,1_3_email,2_2_hazard_statements,revision_date
Safety_Data_Sheet_AccuTrans_2_GB-en.pdf.pdf,AccuTrans,Coltène/Whaledent AG,info.ch@coltene.com,Section 2 had no codes.,20.04.2015
WELGRO_MAGNESIO_FDS.pdf.pdf,WELGRO MAGNESIO,"Comercial Química Massó, S.A.",msds.support@cqmasso.com,"P102,P103,P260,P280,P401",01.12.2016
teezyme-for-teeclean-sds.pdf.pdf,"TEEZyme? Enzymatic Cleaner, 500ml bottle","CS Medical, LLC",,P501,
EZ006A_Diapharma_Human_Thrombin-100NIH_D730-05-REV17-12-2012_MSDS.pdf.pdf,HUMAN THROMBIN,"Diapharma Group, Inc.",info@diapharma.com,Section 2 had no codes.,17.12.2012
SDS-SRB.pdf.pdf,SRB ,Droycon Bioconcepts Inc.,,Section 2 had no codes.,24.06.2019
EN-D04.060.2A-CH00216-Air-flow-indicators.pdf.pdf,Air current tubes; Strömungsprüfröhrchen,Dräger safety AG & co KGaA,,"H290,H314,P102,P103,P234,P260,P280,P301+P330+P331,P305+P351+P338,P309+P311,P310,P390,P402,P403+P233,P403+P235,P420,P501",
1076%20Electric%20Dets.pdf.pdf,"Detonators, Electric (Class 1.1B)",Dyno Nobel Inc.,dnna.hse@am.dynonobel.com,"H201,H410,P210,P230,P240,P250,P280,P370+P380,P372,P373,P401,P501,EUH201",
dyoplus-silicone.pdf.pdf,DYOPLUS SILICONE Matt Interior Wall Paint with Silicone363-,DYO Boya Fabrikaları San. ve Tic. A.Ş,,"P102,EUH208",23.11.2017
Fertotlenito-tajekoztato-3.pdf.pdf,PEROX ,È COSÌ srl ,info@ecosi.it,"H302+H332,H315,H318,H335,H412,P264,P273,P280,P305+P351+P338,P310,P312,P501,EUH210",22.03.2019
floridopond_gb_17-01-2016.pdf.pdf,FLORIDO POND ,E’QUO S.R.L. ,mauro.c@equoitaly.com,Section 2 had no codes.,
GA-process-chemistry-cleaner_safety-data-sheet__001_V1_en_20120501.pdf.pdf,OLYMPUS ENDODIS,Ecolab,,"H314,H335,P280,P303+P361+P353,P305+P351+P338,P310",
B313-MSDS.pdf.pdf,B313 Liquid Biostimulant,EcoStim Ltd,,H303,
Eico-Alterior-Gloss-MSDS.pdf.pdf,eicó Alterior Gloss,eicó Paints Limited,,P102,
Nordfarg-Vagg-by-eico-MSDS.pdf.pdf,Nordfärg Vägg,eicó Paints Limited,,"P102,EUH208",
SBL_140_plus_150120-GB%20Safety_data_sheet_EJOT_.pdf.pdf,EJOT SBL 140 plus,EJOT Baubefestigungen GmbH,,Section 2 not found in PDF.,
Material-safety-Hardener-v8.pdf.pdf,"ENVIROSTIK HARDENER (including Hardener Additive, Multi Purpose Adhesive",EnviroStik Ltd,enquiries@envirostik.com,"H315,H317,H319,H332,H334,H335,H351,H373,P201,P260,P280,P284,P304+P340+P312,P308+P313,EUH204",
MSDS-AkticolFA-UF-eng-1481548225.pdf.pdf,Akticol FA-UF,Erbslöh Geisenheim AG,info@erbsloeh.com,Section 2 had no codes.,
SDS-Sodium-Bicarbonate-EN-08.06.2017.pdf.pdf,SODIUM BICARBONATE ,Eti Soda A.Ş. ,etisoda@etisoda.com,Section 2 had no codes.,08.06.2017
vki-qc-ww21_en_12-msds.pdf.pdf,VKI QC WW2.1 ,Eurofins Miljø A/S ,refmat@eurofins.dk,Section 2 had no codes.,
D_49778310_Sikkerhedsdatablad_2022404.pdf.pdf,A 63.80 ANAEROBIC ADHESIVE ,EURO-LOCK Vertriebs-GmbH,info@euro-lock.de,Section 2 not found in PDF.,
Sicherheitsdatenblatt-CysC-GFR-Testkit-und-Controlkit5526960b40488.pdf.pdf,Sodium azide,Eurolyser Diagnostica GmbH,sds@eurolyser.com,Section 2 had no codes.,
extrudr_PETG_MSDS_01.pdf.pdf,Extrudr PETG,FD3D GmbH/Extrudr,info@extrudr.eu,Section 2 not found in PDF.,
2013-06_Handout5d.pdf.pdf,050001 C11784A,Firmenich Inc.,colin.mcintosh@firmenich.com,"H314,H318,P260,P264,P280,P301+P330+P331,P303+P361+P353,P304+P340",01.12.2010
BalsamicVinegar.pdf.pdf,596722 PL1159,Firmenich Inc.,colin.mcintosh@firmenich.com,Section 2 had no codes.,01.12.2010
Black_Resin_-_SDS_EU_.pdf.pdf,Black Photoreactive Resin for Formlabs 3D printers.,"Formlabs, Inc.",sds@formlabs.com,"H317,H319,P261,P280,P305+P351+P338,P501",
Galvacoat_SIATANE-M_HARDENER.pdf.pdf,SIATANE HARDER T9975/0699.,Galvacoat,,"H226,H317,H319,P241,P280,P303+P361+P353,P333+P313,P363,P501",
SS-MBP_UK_rev7_Oct17.pdf.pdf,Waterproofing membrane,GENERAL MEMBRANE Spa,export@generalmembrane.it,Section 2 had no codes.,
Wood%20Glue%20D3_SDS_eng.pdf.pdf,WODD GLUE D3 ,Gjöco AB ,info.se@gjoco.se,P102,17.02.2015
rockwool_mineralolja_101316-69-2_en.pdf.pdf,Base oil BS 30/85,Grupa Lotos S.A,reach@grupalotos.pl,Section 2 not found in PDF.,
MSDS-Diamond-Paste-Dilution.pdf.pdf,Diamond-Paste-Dilution (Thinner) ,Günter Effgen GmbH,info@effgen.de,Section 2 had no codes.,
si_gb_1MinPu_hart_Poly.pdf.pdf,1 Min PU hard,Gößl + Pfaff GmbH,info@goessl-pfaff.de,"H319,P264,P280,P305+P351+P338",28.01.2021
SDS_HI%20736-25_2013-01-24.pdf.pdf,HI 736-25 Phosphorus Ultra Low Range Reagent,"Hanna Instruments, Inc.",tech@hannainst.com,"H314,P280,P305+P351+P338",
SDS_HI-93754C-25_2013-02-18.pdf.pdf,Reagent for COD Test (25 vials),"Hanna Instruments, Inc.",tech@hannainst.com,"H302,H311,H314,H332,H340,H350,H360,H411,P202,P273,P280,P308+P313,P361",
Sicherheitsdatenblatt-918-5-GB-1.pdf.pdf,Prüfgas 918/5,Hekatron Vertriebs GmbH,info@chemical-check.de,Section 2 had no codes.,09.04.2009
scheda_sicurezza_clinker_holcim_valida_dal_01062015_v.pdf.pdf,Clinker di cemento Portland,holcim,safety-data-sheets-ce@holcim.com,,
3200053532_Y043-2000_ppm_Nitrate_std.pdf.pdf,Y043(2000ppm NO3- standard solution),Horiba,techinfo.hor@jp.horiba.com,Section 2 had no codes.,
HML%207153D_CLP%20SDS-EN.pdf.pdf,HML 7153D,Houghton plc Houghton S.A.S. Houghton Iberica S.A,MSDS@uk.houghtonglobal.com,EUH210,
ISA-NANOTECH-SILTAC-SF-SDS-V.1.0_08.2017_EN-MSDS.pdf.pdf,SILTAC SF,"ICB Pharma Tomasz Świętosławski, Paweł Świętosławski Spółka Jawna",office@icbpharma.com,"H319,H332,H411,P102,P261,P273,P280,P304+P340,P305+P351+P338,P501",
EN_Safety_Data_Sheet.pdf.pdf,Nebol,IGEBA Gerätebau GmbH,info@igeba.de,Section 2 had no codes.,28.09.2016
INEOS%20Hygienics%208%20fl%20oz%20spray%20SDS.pdf.pdf,INEOS ISOPROPYL ALCOHOL ANTISEPTIC 75% ,INEOS Composites US LLC,sds.composites@ineos.com,Section 2 had no codes.,06.04.2020
Enzyme-Laundry-Detergent.pdf.pdf,Enzyme Laundry Detergent,Innovative Chemical Corporation,,,
Inspired%20Energy%20THSBAT%20Li-Ion-battery%201.1.2017.pdf.pdf,Mass Range ,"Inspired Energy, LLC",,Section 2 not found in PDF.,
inspired-energy-battery-safety-data-sheetv8.pdf.pdf,Electrolyte Salt ,"Inspired Energy, LLC",,Section 2 not found in PDF.,
FINAL%20DC%20315%20EU%20EN%20SDS%20181025.pdf.pdf,Water based intumescent paint for foam plastic ,"International Fireproof Technology, Inc.",tom@painttoprotect.com,"H302,H319,P264,P280,P337+P313,P501",25.10.2018
809646_SDS.pdf.pdf,"POSTER MARKERS-6C (Flesh,Orange,Violet,Purple,Brown,Gray)",INVALID SDS,,Section 2 had no codes.,
143b050d9729fe4d6bc76c64d62bf57c.pdf.pdf,EPDM / NITRILE / CHLOROPRENE RUBBER,INVALID SDS,,Section 2 had no codes.,
DataSheet_PF73275-BURGNDIFFHAZ.pdf.pdf,PF73275,INVALID SDS,,"H411,P273,P391,P501",18.12.2013
MSDS_LNG_-_version_1.0.pdf.pdf,LIQUEFIED NATURAL GAS (LNG) ,INVALID SDS,,"H220,H224,H281,P210,P233,P241,P243,P377,P381,P403",
Quartz-SDS-template.pdf.pdf,Quartz,INVALID SDS,,"H372,H373,P260,P501",
SafetyData%20Sheets_ChemicalTankers_USPaperSize.pdf.pdf,INVALID SDS,INVALID SDS,,Section 2 not found in PDF.,
SDS-Coal-Tar-EN-No-Customer-name.pdf.pdf,Coal Tar,INVALID SDS,,"H317,H340,H350,H360,H411,P201,P202,P261,P272,P273,P280,P302+P352,P308+P313,P333+P313,P362+P364,P391,P501",22.05.2017
2016_cbi_safety_data_sheet_of_the_company_voegele_for_cardamom_oil.pdf.pdf,Cardamom oil ,Johann Vögele KG ,,"H226,H315,H317,H411,P210,P241,P261,P303+P361+P353,P321,P501",
SDS-Klueberoil-4-UH1-32-N-029037-GB-en.pdf.pdf,Kl?beroil 4 UH1- 32 N,KLÜBER LUBRICATION MÜNCHEN KG,mcm@klueber.com,Section 2 had no codes.,
ev-300ci-cmyk-to-uk-pdf-data.pdf.pdf,Cyan Toner for,KYOCERA Document Solutions Inc.,,,
EN_EV_P-5031DN_P-5032DN_TO_TA_UT_Rev_2.pdf.pdf,Black Toner for ,KYOCERA Document Solutions Inc.,,Section 2 had no codes.,26.03.2019
EN_EV_P-6040DN_TO_TA_UT_Rev_1.pdf.pdf,Black Toner for ,KYOCERA Document Solutions Inc.,,Section 2 had no codes.,
ev-p-3522dw-p3521mfp-p-3527wmfp-to-ver1-uk-data.pdf.pdf,Black Toner for ,KYOCERA Document Solutions Inc.,,Section 2 had no codes.,
ev-p-4531imfp-p-4536imfp-to-ver1-uk-pdf-data.pdf.pdf,Black Toner for ,KYOCERA Document Solutions Inc.,,Section 2 had no codes.,
MSDS%203Dlac.pdf.pdf,3D LAC,Laboratorios Belloch,,"H222,H319,H336,P210,P211,P251,P261,P410+P412",
DVB00018_SDS.pdf.pdf,3DLAC PLUS,"Laiseven Cosmetics, S.L.",laiseven@laisevencosmetics.com,"H225,H319,H336,P101,P102,P210,P280,P304+P340,P305+P351+P338,P403+P233,P501",
Healthyskin.-SDS.-02.05.19.pdf.pdf,HEALTHYSKIN,LESSONIA – Croas ar Neizic – 29800 Saint Thonan – France,,Section 2 had no codes.,
MSDS-S-100-Human-Serum-ID-13039.pdf.pdf,"Human Serum, pooled, off clot",Life science group,sales@lifesciencegroup.co.uk,Section 2 had no codes.,
loxeal_30-55_-_sds10607_-_cs.pdf.pdf,Název výrobku,loxeal,info@loxeal.com,,
LEDIZOLV%20(LeadZol%20or%20Lead%20Disolve).pdf.pdf,Ledizolv ,"LSZ, Inc.",,"H315,H319,P264,P280,P302+P352,P305+P351+P338,P332+P313,P501",21.03.2016
Marlon_Repair_FT_10_EN_19.pdf.pdf,Marlon Repair FT ,Marlon Tørmørtel A/S ,bvr@marlon.dk,"H315,H318,H335,P101,P102,P280,P305+P351+P338,P405,P501",
Hard-Hat-Aerosol-Spray-Paint-SDS.pdf.pdf,2300 Hard-Hat Series Marking Sprays (aerosol paint) ,MasterFinish by APS,,"H222,H229,H315,H319,H335,H373,P101,P102,P103,P210,P211,P251,P260,P271,P280,P302,P352,P410+P412,P501",
AZ%201505%20photoresist.pdf.pdf,AZ 1505 Photoresist 0005 ,Merck,PSE@merckgroup.com,"H226,P210,P233,P280,P303+P361+P353,P370+P378,P403+P235",06.05.2015
AZ5214E.pdf.pdf,AZ 5214 E Photoresist 0005 ,Merck,PSE@merckgroup.com,"H226,P210,P280,P303+P361+P353,P370+P378,P403+P235",17.04.2015
EX-THEMP_15-45-SDS_ENv2_0.pdf.pdf,EMS EX-THEMP 15-45 ,Metsan Endustriyel Yapıstırıcılar Ticaret Anonim Sirketi ,sds@metsan.gen.tr,"H315,H319,P264,P280,P305+P351+P338,P332+P313,P337+P313",
cleansing%20bar%20rose.pdf.pdf,FDS.SECU 436 - MOROCCANOIL ,Moroccanoil,,"P101,P102,P103,P501,EUH208",24.10.2014
MSK.eSDS.Metanol.SR.v12.1.pdf.pdf,"Methanol, CH3OH, technical, 99.85%",msk,info@msk.co.rs,,
Maerker_SDB_Zement_HRB_2020_1_en.pdf.pdf,"CEM I 32,5 R CEM I 42,5 N ? st CEM I 52,5 R",Märker Zement GmbH,reach@maerker-gruppe.de,"H315,H317,H318,H335,P102,P261+P304+P340+P312,P280,P302+P352+P333+P313,P305+P351+P338+P310,P501,EUH203",
Safety-Data-Sheet-N300-series-3N17-3N36-3N37.pdf.pdf,NC Powder,Nammo Vihtavuori Oy,info@vihtavuori.com,"H203,H412,P210,P240,P250,P280,P370+P380,P373,P401,P501",
SDS-KombinonSpecial--EN.pdf.pdf,KombinonSpecial ,NCÅ-Verodan A/S ,mail@ncaa.dk,"H314,H318,P260,P280,P303+P361+P353,P305+P351+P338",
91028.pdf.pdf,Elmer's Magical Liquid Confetti Slime Activator ,Newell Europe Sàrl ,Aftersales.SERVICE@newellco.com,Section 2 had no codes.,
Ammonium%20nitrate%2034N%20SDS.pdf.pdf,Ammonium nitrate 34% ,Nitrogénművek Zrt. ,nrt@nitrogen.hu,Section 2 had no codes.,
SDS-BRILL-BOMAR-EN.pdf.pdf,BRILL BOMAR,NITTY-GRITTY S.R.L.,info@nitty-gritty.it,"H314,P264,P280,P304+P340,P310,P405",
SDS-91-UL.pdf.pdf,"which influenced classification: toluene, naphtha (petroleum), isomerization, naphtha",OBR Spółka Akcyjna,biuro@theta-doradztwo.pl,"H224,H225,H226,H304,H312,H315,H332,H336,H361d,H373,H411,P202,P210,P260,P273,P280,P301+P310,P303+P361+P353,P308+P313,P331,EUH066",
ode-membran-msds.pdf.pdf,ODE MEMBRAN ,ODE Yalıtım Sanayi ve Ticaret A.Ş,info@ode.com.tr,Section 2 had no codes.,06.02.2017
en_gbf_atf_dx_iii.pdf.pdf,ATF DX III,OPET FUCHS MADENİ YAĞ SAN. ve TİC. A.Ş.,,Section 2 had no codes.,08.08.2017
en_gbf_fullpro_ht_msps_10w30.pdf.pdf,FULLPRO HT MSPS 10W-30,OPET FUCHS MADENİ YAĞ SAN. ve TİC. A.Ş.,,"H412,P273,P501",21.08.2017
Karta_Charakterystyki_AVGAS_Eng.pdf.pdf,Aviation Gasoline Avgas 100LL ,Ośrodek Badawczo Rozwojowy Przemysłu Rafineryjnego S.A. (OBR JSC) ,biuro@theta-doradztwo.pl,Section 2 had no codes.,05.09.2012
SDS_MOXY_EN.pdf.pdf,MOXY,OXY’PHARM,commercial@oxypharm.net,"H400,H410,P261,P273,P280,P302+P352,P333+P313,P362+P364,P391,P501,EUH208",10.11.2017
SDS_NOCOLYSE_EN.pdf.pdf,NOCOLYSE NEUTRAL,OXY’PHARM,commercial@oxypharm.net,"H319,P264,P280,P305+P351+P338,P337+P313",16.05.2017
SDS-GLOSAIR-400-EN.pdf.pdf,Glosair 400,OXY’PHARM,commercial@oxypharm.net,"H319,P264,P280,P305+P351+P338,P337+P313",26.06.2017
SDS_CLEANING_TABLETS_2_IN_1.pdf.pdf,JURA Descaling tablets (2-phase),Oxytabs Tablettenproduktion GmbH,info@medeagroup.de,"H302,H315,H317,H319,H335,H412,P102,P264,P301+P312,P305+P351+P338,P337+P313,P501",03.07.2019
safety-data-sheet-glass-cleaner-mayeri-sensitive.pdf.pdf,Glass cleaner Mayeri Sensitive,Oy Mayeri Nordic Ab,info@mayerisensitive.eu,P102,08.10.2015
febra-Silk-Teat-Wipes-QUAT-Free-MSDS.pdf.pdf,Pal Teat Disinfectant Wipes ,Pal International Limited ,info@palinternational.com,Section 2 had no codes.,22.11.2013
461712_safety_1.pdf.pdf,Windhager Gelbstecker,Papírna Moudrý s.r.o. ,moudry@moudry-cz.com,Section 2 had no codes.,
GHS%20Bisphenol%20A%20MSDS.pdf.pdf,Bisphenol A ,Parchem - fine & specialty chemicals,info@parchem.com,"H317,H318,H335,H361,H411",
Tan-%20Perma%20Blend.pdf.pdf,Tan,Perma​ ​Blend,,"H225,H317,H319,H336,P301,P302,P304,P305,P311,P313,P331,P332,P352,P362",
HSDS-1.880.1600-MPA.pdf.pdf,1K PLASTIC PRIMER AEROSOL,PPG Industries Italia SpA,EurMsdsContact@ppg.com,Section 2 had no codes.,09.07.2009
MSDS%20-%20pro%20value%20Concentrated%20Washroom%20Cleaner.pdf.pdf,Provalue Concentrated Washroom Cleaner,Premier Products,laboratory@premiereproducts.co.uk,Section 2 had no codes.,07.06.2013
storage-application_pdf-20160920022538-1523-msds-rapeseed-oil-v2r2-260816-en.pdf.pdf,RAPESEED OIL,PREOL a.s.,monika.neveceralova@preol.cz,Section 2 had no codes.,26.08.2016
MSDS_EN_PrimaCover%20Robust_Primaverde%20BV.pdf.pdf,PrimaCover Robust,Primaverde BV,,Section 2 had no codes.,06.04.2020
speed-bond-1-sds-ab.pdf.pdf,Speed Bond #1 Component A,Prime Resins Inc.,EHS@primeresins.com,"H315,H317,H319,H335,H351,H411,P261,P273,P280,P284,P302+P352,P304+P340,P305+P351+P338,P308+P313,P333+P313,P391",
GLYKOSOL_100_GB_SDB.pdf.pdf,GLYKOSOL 100,pro Kühlsole GmbH,sds@gbk-ingelheim.de,"H226,H336,P101,P102,P103,P210,P233,P235,P240,P241,P242,P243,P261,P271,P280,P303+P361+P353,P304+P340,P312,P403+P233,P405,P501",24.03.2020
PEKASOL_FG-Safety-Data-Sheet-EN.pdf.pdf,PEKASOL FG,pro Kühlsole GmbH,sds@gbk-ingelheim.de,Section 2 had no codes.,08.01.2018
Bomasept%20English%20MSDS.pdf.pdf,BOMASEPT G ,Przedsiębiorstwo Produkcyjno-Handlowe Chemia - Bomar Edward Marciniak,biuro@plyny.pl,"H225,H319,P102,P210,P233+P403+P235,P305+P351+P338,P370+P378,P501",
Bomasept-MSDS-2020_04.pdf.pdf,BOMASEPT ,Przedsiębiorstwo Produkcyjno-Handlowe Chemia - Bomar Edward Marciniak,biuro@plyny.pl,"H225,H319,P102,P210,P233+P403+P235,P305+P351+P338,P370+P378,P501",
MSDS%20Quantum%20Antifreeze%20Long%20Life-Ready%20for%20use.pdf.pdf,QUANTUM Antifreeze Long Life Ready -40 0C ,Quantum Lubricants,,"H302,H361,H373,P101,P102,P103,P201,P202,P260,P264,P270,P280,P301+P312,P308+P313,P314,P330,P501,EUH210",
Probor50_MSDS.pdf.pdf,Probor 50 ,Restoration UK Limited,info@restorationuk.com,"H360,H360FD,P201,P202,P281,P308+P313,P405,P501",13.12.2010
080-000-575_BROWNELLS%20PROFESSIONAL%20CENTERFIRE%20RIFLE%20CLEANING%20SYSTEM%20-%20080_default.pdf.pdf,Break-Free CLP Liquid,Safariland LLC,,"H226,H304,H315,H319,H332,H373,P210,P233,P240,P241,P242,P243,P260,P261,P264,P271,P280,P301+P310,P302+P352,P304+P340,P305+P351+P338,P312,P330,P331,P332+P313,P337+P313,P362+P364,P370+P378,P403+P233,P405,P501",
Defense%20Technology%206172%20-%20Skat%20Shell%2040%20mm%20Multiple%20Projectile%20Round%20CS.pdf.pdf,Skat Shell 40 mm Multiple Projectile Round,"Safariland, LLC",,"H204,H301,H301+H331,H312,H315,H317,H319,H331,H334,H335,H411,H411.,P210,P250,P260,P280,P285,P302+P352,P305+P351+P338,P333+P313,P342+P311,P372,P373,P374,P374.,P403+P233,P501",15.07.2015
MSDS_Mucapur_Enzyme_Power.pdf.pdf,Mucapur EnzymePower,Schülke & Mayr GmbH,mail@schuelke.com,Section 2 had no codes.,14.11.2013
euxyl-PE-9010-ZSDB_P_ALL-EN.pdf.pdf,euxyl PE 9010 ,Schülke & Mayr GmbH ,mail@schuelke.com,"H318,P280,P305+P351+P338,P310",
DraftEIR-Shell2012.pdf.pdf,"Fuels, diesel, no.2 CAS 68476-34-6",Shell Trading Rotterdam B.V.,,"H226,H304,H315,H332,H351,H373,H411,P210,P261,P280,P301+P310,P331,P501",
syntekonatural_eu_en_msds.pdf.pdf,SYNTEKO NATURAL 1608 ,Sika Estonia OÜ ,info@ee.sika.com,"P101,P102,P262,P312,P501",08.03.2016
syntekoretarder_eu_en_msds.pdf.pdf,SYNTEKO RETARDER 1670,SIKA Estonia OÜ ,info@ee.sika.com,"H225,P101,P102,P210,P233,P235,P262,P312,P501",
MSDS-MET5-E-v15_0.pdf.pdf,Sodium metasilicate pentahydrate granules ,SILMACO NV,info@silmaco.com,"H290,H314,H335,P261,P262,P280,P301+P330+P331,P303+P361+P353,P305+P351+P338",
KTT-20200131-en.pdf.pdf,ANTIBAC ANTISEPTIC HAND GEL,Sim Finland Oy,asiakaspalvelu@sim.fi,"H225,P101,P102,P210,P404",31.01.2020
ALTEX_oryggisblad.pdf.pdf,ALTEX ,Slippfélagið hf ,,Section 2 not found in PDF.,
wbzb40.pdf.pdf,Zirblast ,Société Européenne des Produits Réfractaires S.E.P.R,zirpro@saint-gobain.com,Section 2 had no codes.,
Socom_Msds_14.01.20.pdf.pdf,SOCOM ,Société Financière de Pontarlier,contact@sfprd.fr,"H290,H302,H335,P261,P264,P270,P271,P301+P312,P304+P340,P312,P330,P403+P233,P405,P501,EUH401",29.10.2019
02.504858.pdf.pdf,EAR CLEANSING LOTION ,SOLIMÈ S.R.L. ,,"H319,P264,P273,P280,P333+P313,P337+P313,P391,P501",
Liquid%20Glassymer_MSDS%20pdf.pdf.pdf,Liquid Glassymer ,"SPA 2000, s.r.o.",SPA2000@SPA2000.cz,Section 2 not found in PDF.,
MSDS_EN_Spectrumark_CM01D_Metal_Black.pdf.pdf,Spectrumark CM01D Metal Black,Spectrumark LLC,info@spectrumark.eu,Section 2 had no codes.,05.07.2012
MSDS%20Multipanel%205-10-12%20drogas%20placas%20monlabtest%20EN.pdf.pdf,Series DOA200 MONLABTEST ,"SPINREACT, S.A.U. for MONLAB SL",cestevez@spinreact.com,Section 2 had no codes.,
